Catalog_Item_Number__c,Title__c,CSO_Short_Name__c,Description__c,List_Unit_Price__c,Pricing_Unit__c,JWCC_Unit_Price__c,JWCC_Unit_Of_Issue__c,Discount_Premium_Fee__c
DEMO-P-202601-00155,Mock AWS catalog line 155 - compute and storage blend,CSO-SVC-36,Demo description for pricing row 155; safe for POC uploads.,20.84,GB-Mo,18.3392,GB-Mo,
DEMO-P-202601-00156,Mock AWS catalog line 156 - compute and storage blend,CSO-SVC-37,Demo description for pricing row 156; safe for POC uploads.,20.91,Each,18.4008,Each,Standard
DEMO-P-202601-00157,Mock AWS catalog line 157 - compute and storage blend,CSO-SVC-38,Demo description for pricing row 157; safe for POC uploads.,20.98,GB-Mo,18.4624,GB-Mo,Standard
DEMO-P-202601-00158,Mock AWS catalog line 158 - compute and storage blend,CSO-SVC-39,Demo description for pricing row 158; safe for POC uploads.,21.05,Each,18.524,Each,Standard
DEMO-P-202601-00159,Mock AWS catalog line 159 - compute and storage blend,CSO-SVC-40,Demo description for pricing row 159; safe for POC uploads.,21.12,GB-Mo,18.5856,GB-Mo,Standard
DEMO-P-202601-00160,Mock AWS catalog line 160 - compute and storage blend,CSO-SVC-01,Demo description for pricing row 160; safe for POC uploads.,21.19,Each,18.6472,Each,
DEMO-P-202601-00161,Mock AWS catalog line 161 - compute and storage blend,CSO-SVC-02,Demo description for pricing row 161; safe for POC uploads.,21.26,GB-Mo,18.7088,GB-Mo,Standard
DEMO-P-202601-00162,Mock AWS catalog line 162 - compute and storage blend,CSO-SVC-03,Demo description for pricing row 162; safe for POC uploads.,21.33,Each,18.7704,Each,Standard
DEMO-P-202601-00163,Mock AWS catalog line 163 - compute and storage blend,CSO-SVC-04,Demo description for pricing row 163; safe for POC uploads.,21.4,GB-Mo,18.832,GB-Mo,Standard
DEMO-P-202601-00164,Mock AWS catalog line 164 - compute and storage blend,CSO-SVC-05,Demo description for pricing row 164; safe for POC uploads.,21.47,Each,18.8936,Each,Standard
DEMO-P-202601-00165,Mock AWS catalog line 165 - compute and storage blend,CSO-SVC-06,Demo description for pricing row 165; safe for POC uploads.,21.54,GB-Mo,18.9552,GB-Mo,
DEMO-P-202601-00166,Mock AWS catalog line 166 - compute and storage blend,CSO-SVC-07,Demo description for pricing row 166; safe for POC uploads.,21.61,Each,19.0168,Each,Standard
DEMO-P-202601-00167,Mock AWS catalog line 167 - compute and storage blend,CSO-SVC-08,Demo description for pricing row 167; safe for POC uploads.,21.68,GB-Mo,19.0784,GB-Mo,Standard
DEMO-P-202601-00168,Mock AWS catalog line 168 - compute and storage blend,CSO-SVC-09,Demo description for pricing row 168; safe for POC uploads.,21.75,Each,19.14,Each,Standard
DEMO-P-202601-00169,Mock AWS catalog line 169 - compute and storage blend,CSO-SVC-10,Demo description for pricing row 169; safe for POC uploads.,21.82,GB-Mo,19.2016,GB-Mo,Standard
DEMO-P-202601-00170,Mock AWS catalog line 170 - compute and storage blend,CSO-SVC-11,Demo description for pricing row 170; safe for POC uploads.,21.89,Each,19.2632,Each,
DEMO-P-202601-00171,Mock AWS catalog line 171 - compute and storage blend,CSO-SVC-12,Demo description for pricing row 171; safe for POC uploads.,21.96,GB-Mo,19.3248,GB-Mo,Standard
DEMO-P-202601-00172,Mock AWS catalog line 172 - compute and storage blend,CSO-SVC-13,Demo description for pricing row 172; safe for POC uploads.,22.03,Each,19.3864,Each,Standard
DEMO-P-202601-00173,Mock AWS catalog line 173 - compute and storage blend,CSO-SVC-14,Demo description for pricing row 173; safe for POC uploads.,22.1,GB-Mo,19.448,GB-Mo,Standard
DEMO-P-202601-00174,Mock AWS catalog line 174 - compute and storage blend,CSO-SVC-15,Demo description for pricing row 174; safe for POC uploads.,22.17,Each,19.5096,Each,Standard
DEMO-P-202601-00175,Mock AWS catalog line 175 - compute and storage blend,CSO-SVC-16,Demo description for pricing row 175; safe for POC uploads.,22.24,GB-Mo,19.5712,GB-Mo,
DEMO-P-202601-00176,Mock AWS catalog line 176 - compute and storage blend,CSO-SVC-17,Demo description for pricing row 176; safe for POC uploads.,22.31,Each,19.6328,Each,Standard
DEMO-P-202601-00177,Mock AWS catalog line 177 - compute and storage blend,CSO-SVC-18,Demo description for pricing row 177; safe for POC uploads.,22.38,GB-Mo,19.6944,GB-Mo,Standard
DEMO-P-202601-00178,Mock AWS catalog line 178 - compute and storage blend,CSO-SVC-19,Demo description for pricing row 178; safe for POC uploads.,22.45,Each,19.756,Each,Standard
DEMO-P-202601-00179,Mock AWS catalog line 179 - compute and storage blend,CSO-SVC-20,Demo description for pricing row 179; safe for POC uploads.,22.52,GB-Mo,19.8176,GB-Mo,Standard
DEMO-P-202601-00180,Mock AWS catalog line 180 - compute and storage blend,CSO-SVC-21,Demo description for pricing row 180; safe for POC uploads.,22.59,Each,19.8792,Each,
DEMO-P-202601-00181,Mock AWS catalog line 181 - compute and storage blend,CSO-SVC-22,Demo description for pricing row 181; safe for POC uploads.,22.66,GB-Mo,19.9408,GB-Mo,Standard
DEMO-P-202601-00182,Mock AWS catalog line 182 - compute and storage blend,CSO-SVC-23,Demo description for pricing row 182; safe for POC uploads.,22.73,Each,20.0024,Each,Standard
DEMO-P-202601-00183,Mock AWS catalog line 183 - compute and storage blend,CSO-SVC-24,Demo description for pricing row 183; safe for POC uploads.,22.8,GB-Mo,20.064,GB-Mo,Standard
DEMO-P-202601-00184,Mock AWS catalog line 184 - compute and storage blend,CSO-SVC-25,Demo description for pricing row 184; safe for POC uploads.,22.87,Each,20.1256,Each,Standard
DEMO-P-202601-00185,Mock AWS catalog line 185 - compute and storage blend,CSO-SVC-26,Demo description for pricing row 185; safe for POC uploads.,22.94,GB-Mo,20.1872,GB-Mo,
DEMO-P-202601-00186,Mock AWS catalog line 186 - compute and storage blend,CSO-SVC-27,Demo description for pricing row 186; safe for POC uploads.,23.01,Each,20.2488,Each,Standard
DEMO-P-202601-00187,Mock AWS catalog line 187 - compute and storage blend,CSO-SVC-28,Demo description for pricing row 187; safe for POC uploads.,23.08,GB-Mo,20.3104,GB-Mo,Standard
DEMO-P-202601-00188,Mock AWS catalog line 188 - compute and storage blend,CSO-SVC-29,Demo description for pricing row 188; safe for POC uploads.,23.15,Each,20.372,Each,Standard
DEMO-P-202601-00189,Mock AWS catalog line 189 - compute and storage blend,CSO-SVC-30,Demo description for pricing row 189; safe for POC uploads.,23.22,GB-Mo,20.4336,GB-Mo,Standard
DEMO-P-202601-00190,Mock AWS catalog line 190 - compute and storage blend,CSO-SVC-31,Demo description for pricing row 190; safe for POC uploads.,23.29,Each,20.4952,Each,
DEMO-P-202601-00191,Mock AWS catalog line 191 - compute and storage blend,CSO-SVC-32,Demo description for pricing row 191; safe for POC uploads.,23.36,GB-Mo,20.5568,GB-Mo,Standard
DEMO-P-202601-00192,Mock AWS catalog line 192 - compute and storage blend,CSO-SVC-33,Demo description for pricing row 192; safe for POC uploads.,23.43,Each,20.6184,Each,Standard
DEMO-P-202601-00193,Mock AWS catalog line 193 - compute and storage blend,CSO-SVC-34,Demo description for pricing row 193; safe for POC uploads.,23.5,GB-Mo,20.68,GB-Mo,Standard
DEMO-P-202601-00194,Mock AWS catalog line 194 - compute and storage blend,CSO-SVC-35,Demo description for pricing row 194; safe for POC uploads.,23.57,Each,20.7416,Each,Standard
DEMO-P-202601-00195,Mock AWS catalog line 195 - compute and storage blend,CSO-SVC-36,Demo description for pricing row 195; safe for POC uploads.,23.64,GB-Mo,20.8032,GB-Mo,
DEMO-P-202601-00196,Mock AWS catalog line 196 - compute and storage blend,CSO-SVC-37,Demo description for pricing row 196; safe for POC uploads.,23.71,Each,20.8648,Each,Standard
DEMO-P-202601-00197,Mock AWS catalog line 197 - compute and storage blend,CSO-SVC-38,Demo description for pricing row 197; safe for POC uploads.,23.78,GB-Mo,20.9264,GB-Mo,Standard
DEMO-P-202601-00198,Mock AWS catalog line 198 - compute and storage blend,CSO-SVC-39,Demo description for pricing row 198; safe for POC uploads.,23.85,Each,20.988,Each,Standard
DEMO-P-202601-00199,Mock AWS catalog line 199 - compute and storage blend,CSO-SVC-40,Demo description for pricing row 199; safe for POC uploads.,23.92,GB-Mo,21.0496,GB-Mo,Standard
DEMO-P-202601-00200,Mock AWS catalog line 200 - compute and storage blend,CSO-SVC-01,Demo description for pricing row 200; safe for POC uploads.,23.99,Each,21.1112,Each,
DEMO-P-202601-00201,Mock AWS catalog line 201 - compute and storage blend,CSO-SVC-02,Demo description for pricing row 201; safe for POC uploads.,24.06,GB-Mo,21.1728,GB-Mo,Standard
DEMO-P-202601-00202,Mock AWS catalog line 202 - compute and storage blend,CSO-SVC-03,Demo description for pricing row 202; safe for POC uploads.,24.13,Each,21.2344,Each,Standard
DEMO-P-202601-00203,Mock AWS catalog line 203 - compute and storage blend,CSO-SVC-04,Demo description for pricing row 203; safe for POC uploads.,24.2,GB-Mo,21.296,GB-Mo,Standard
DEMO-P-202601-00204,Mock AWS catalog line 204 - compute and storage blend,CSO-SVC-05,Demo description for pricing row 204; safe for POC uploads.,24.27,Each,21.3576,Each,Standard
DEMO-P-202601-00205,Mock AWS catalog line 205 - compute and storage blend,CSO-SVC-06,Demo description for pricing row 205; safe for POC uploads.,24.34,GB-Mo,21.4192,GB-Mo,
DEMO-P-202601-00206,Mock AWS catalog line 206 - compute and storage blend,CSO-SVC-07,Demo description for pricing row 206; safe for POC uploads.,24.41,Each,21.4808,Each,Standard
DEMO-P-202601-00207,Mock AWS catalog line 207 - compute and storage blend,CSO-SVC-08,Demo description for pricing row 207; safe for POC uploads.,24.48,GB-Mo,21.5424,GB-Mo,Standard
DEMO-P-202601-00208,Mock AWS catalog line 208 - compute and storage blend,CSO-SVC-09,Demo description for pricing row 208; safe for POC uploads.,24.55,Each,21.604,Each,Standard
DEMO-P-202601-00209,Mock AWS catalog line 209 - compute and storage blend,CSO-SVC-10,Demo description for pricing row 209; safe for POC uploads.,24.62,GB-Mo,21.6656,GB-Mo,Standard
DEMO-P-202601-00210,Mock AWS catalog line 210 - compute and storage blend,CSO-SVC-11,Demo description for pricing row 210; safe for POC uploads.,24.69,Each,21.7272,Each,
DEMO-P-202601-00211,Mock AWS catalog line 211 - compute and storage blend,CSO-SVC-12,Demo description for pricing row 211; safe for POC uploads.,24.76,GB-Mo,21.7888,GB-Mo,Standard
DEMO-P-202601-00212,Mock AWS catalog line 212 - compute and storage blend,CSO-SVC-13,Demo description for pricing row 212; safe for POC uploads.,24.83,Each,21.8504,Each,Standard
DEMO-P-202601-00213,Mock AWS catalog line 213 - compute and storage blend,CSO-SVC-14,Demo description for pricing row 213; safe for POC uploads.,24.9,GB-Mo,21.912,GB-Mo,Standard
DEMO-P-202601-00214,Mock AWS catalog line 214 - compute and storage blend,CSO-SVC-15,Demo description for pricing row 214; safe for POC uploads.,24.97,Each,21.9736,Each,Standard
DEMO-P-202601-00215,Mock AWS catalog line 215 - compute and storage blend,CSO-SVC-16,Demo description for pricing row 215; safe for POC uploads.,25.04,GB-Mo,22.0352,GB-Mo,
DEMO-P-202601-00216,Mock AWS catalog line 216 - compute and storage blend,CSO-SVC-17,Demo description for pricing row 216; safe for POC uploads.,25.11,Each,22.0968,Each,Standard
DEMO-P-202601-00217,Mock AWS catalog line 217 - compute and storage blend,CSO-SVC-18,Demo description for pricing row 217; safe for POC uploads.,25.18,GB-Mo,22.1584,GB-Mo,Standard
DEMO-P-202601-00218,Mock AWS catalog line 218 - compute and storage blend,CSO-SVC-19,Demo description for pricing row 218; safe for POC uploads.,25.25,Each,22.22,Each,Standard
DEMO-P-202601-00219,Mock AWS catalog line 219 - compute and storage blend,CSO-SVC-20,Demo description for pricing row 219; safe for POC uploads.,25.32,GB-Mo,22.2816,GB-Mo,Standard
DEMO-P-202601-00220,Mock AWS catalog line 220 - compute and storage blend,CSO-SVC-21,Demo description for pricing row 220; safe for POC uploads.,25.39,Each,22.3432,Each,
DEMO-P-202601-00221,Mock AWS catalog line 221 - compute and storage blend,CSO-SVC-22,Demo description for pricing row 221; safe for POC uploads.,25.46,GB-Mo,22.4048,GB-Mo,Standard
DEMO-P-202601-00222,Mock AWS catalog line 222 - compute and storage blend,CSO-SVC-23,Demo description for pricing row 222; safe for POC uploads.,25.53,Each,22.4664,Each,Standard
DEMO-P-202601-00223,Mock AWS catalog line 223 - compute and storage blend,CSO-SVC-24,Demo description for pricing row 223; safe for POC uploads.,25.6,GB-Mo,22.528,GB-Mo,Standard
DEMO-P-202601-00224,Mock AWS catalog line 224 - compute and storage blend,CSO-SVC-25,Demo description for pricing row 224; safe for POC uploads.,25.67,Each,22.5896,Each,Standard
DEMO-P-202601-00225,Mock AWS catalog line 225 - compute and storage blend,CSO-SVC-26,Demo description for pricing row 225; safe for POC uploads.,25.74,GB-Mo,22.6512,GB-Mo,
DEMO-P-202601-00226,Mock AWS catalog line 226 - compute and storage blend,CSO-SVC-27,Demo description for pricing row 226; safe for POC uploads.,25.81,Each,22.7128,Each,Standard
DEMO-P-202601-00227,Mock AWS catalog line 227 - compute and storage blend,CSO-SVC-28,Demo description for pricing row 227; safe for POC uploads.,25.88,GB-Mo,22.7744,GB-Mo,Standard
DEMO-P-202601-00228,Mock AWS catalog line 228 - compute and storage blend,CSO-SVC-29,Demo description for pricing row 228; safe for POC uploads.,25.95,Each,22.836,Each,Standard
DEMO-P-202601-00229,Mock AWS catalog line 229 - compute and storage blend,CSO-SVC-30,Demo description for pricing row 229; safe for POC uploads.,26.02,GB-Mo,22.8976,GB-Mo,Standard
DEMO-P-202601-00230,Mock AWS catalog line 230 - compute and storage blend,CSO-SVC-31,Demo description for pricing row 230; safe for POC uploads.,26.09,Each,22.9592,Each,
DEMO-P-202601-00231,Mock AWS catalog line 231 - compute and storage blend,CSO-SVC-32,Demo description for pricing row 231; safe for POC uploads.,26.16,GB-Mo,23.0208,GB-Mo,Standard
DEMO-P-202601-00232,Mock AWS catalog line 232 - compute and storage blend,CSO-SVC-33,Demo description for pricing row 232; safe for POC uploads.,26.23,Each,23.0824,Each,Standard
DEMO-P-202601-00233,Mock AWS catalog line 233 - compute and storage blend,CSO-SVC-34,Demo description for pricing row 233; safe for POC uploads.,26.3,GB-Mo,23.144,GB-Mo,Standard
DEMO-P-202601-00234,Mock AWS catalog line 234 - compute and storage blend,CSO-SVC-35,Demo description for pricing row 234; safe for POC uploads.,26.37,Each,23.2056,Each,Standard
DEMO-P-202601-00235,Mock AWS catalog line 235 - compute and storage blend,CSO-SVC-36,Demo description for pricing row 235; safe for POC uploads.,26.44,GB-Mo,23.2672,GB-Mo,
DEMO-P-202601-00236,Mock AWS catalog line 236 - compute and storage blend,CSO-SVC-37,Demo description for pricing row 236; safe for POC uploads.,26.51,Each,23.3288,Each,Standard
DEMO-P-202601-00237,Mock AWS catalog line 237 - compute and storage blend,CSO-SVC-38,Demo description for pricing row 237; safe for POC uploads.,26.58,GB-Mo,23.3904,GB-Mo,Standard
DEMO-P-202601-00238,Mock AWS catalog line 238 - compute and storage blend,CSO-SVC-39,Demo description for pricing row 238; safe for POC uploads.,26.65,Each,23.452,Each,Standard
DEMO-P-202601-00239,Mock AWS catalog line 239 - compute and storage blend,CSO-SVC-40,Demo description for pricing row 239; safe for POC uploads.,26.72,GB-Mo,23.5136,GB-Mo,Standard
DEMO-P-202601-00240,Mock AWS catalog line 240 - compute and storage blend,CSO-SVC-01,Demo description for pricing row 240; safe for POC uploads.,26.79,Each,23.5752,Each,
DEMO-P-202601-00241,Mock AWS catalog line 241 - compute and storage blend,CSO-SVC-02,Demo description for pricing row 241; safe for POC uploads.,26.86,GB-Mo,23.6368,GB-Mo,Standard
DEMO-P-202601-00242,Mock AWS catalog line 242 - compute and storage blend,CSO-SVC-03,Demo description for pricing row 242; safe for POC uploads.,26.93,Each,23.6984,Each,Standard
DEMO-P-202601-00243,Mock AWS catalog line 243 - compute and storage blend,CSO-SVC-04,Demo description for pricing row 243; safe for POC uploads.,27,GB-Mo,23.76,GB-Mo,Standard
DEMO-P-202601-00244,Mock AWS catalog line 244 - compute and storage blend,CSO-SVC-05,Demo description for pricing row 244; safe for POC uploads.,27.07,Each,23.8216,Each,Standard
DEMO-P-202601-00245,Mock AWS catalog line 245 - compute and storage blend,CSO-SVC-06,Demo description for pricing row 245; safe for POC uploads.,27.14,GB-Mo,23.8832,GB-Mo,
DEMO-P-202601-00246,Mock AWS catalog line 246 - compute and storage blend,CSO-SVC-07,Demo description for pricing row 246; safe for POC uploads.,27.21,Each,23.9448,Each,Standard
DEMO-P-202601-00247,Mock AWS catalog line 247 - compute and storage blend,CSO-SVC-08,Demo description for pricing row 247; safe for POC uploads.,27.28,GB-Mo,24.0064,GB-Mo,Standard
DEMO-P-202601-00248,Mock AWS catalog line 248 - compute and storage blend,CSO-SVC-09,Demo description for pricing row 248; safe for POC uploads.,27.35,Each,24.068,Each,Standard
DEMO-P-202601-00249,Mock AWS catalog line 249 - compute and storage blend,CSO-SVC-10,Demo description for pricing row 249; safe for POC uploads.,27.42,GB-Mo,24.1296,GB-Mo,Standard
DEMO-P-202601-00250,Mock AWS catalog line 250 - compute and storage blend,CSO-SVC-11,Demo description for pricing row 250; safe for POC uploads.,27.49,Each,24.1912,Each,
DEMO-P-202601-00251,Mock AWS catalog line 251 - compute and storage blend,CSO-SVC-12,Demo description for pricing row 251; safe for POC uploads.,27.56,GB-Mo,24.2528,GB-Mo,Standard
DEMO-P-202601-00252,Mock AWS catalog line 252 - compute and storage blend,CSO-SVC-13,Demo description for pricing row 252; safe for POC uploads.,27.63,Each,24.3144,Each,Standard
DEMO-P-202601-00253,Mock AWS catalog line 253 - compute and storage blend,CSO-SVC-14,Demo description for pricing row 253; safe for POC uploads.,27.7,GB-Mo,24.376,GB-Mo,Standard
DEMO-P-202601-00254,Mock AWS catalog line 254 - compute and storage blend,CSO-SVC-15,Demo description for pricing row 254; safe for POC uploads.,27.77,Each,24.4376,Each,Standard
DEMO-P-202601-00255,Mock AWS catalog line 255 - compute and storage blend,CSO-SVC-16,Demo description for pricing row 255; safe for POC uploads.,27.84,GB-Mo,24.4992,GB-Mo,
DEMO-P-202601-00256,Mock AWS catalog line 256 - compute and storage blend,CSO-SVC-17,Demo description for pricing row 256; safe for POC uploads.,27.91,Each,24.5608,Each,Standard
DEMO-P-202601-00257,Mock AWS catalog line 257 - compute and storage blend,CSO-SVC-18,Demo description for pricing row 257; safe for POC uploads.,27.98,GB-Mo,24.6224,GB-Mo,Standard
DEMO-P-202601-00258,Mock AWS catalog line 258 - compute and storage blend,CSO-SVC-19,Demo description for pricing row 258; safe for POC uploads.,28.05,Each,24.684,Each,Standard
DEMO-P-202601-00259,Mock AWS catalog line 259 - compute and storage blend,CSO-SVC-20,Demo description for pricing row 259; safe for POC uploads.,28.12,GB-Mo,24.7456,GB-Mo,Standard
DEMO-P-202601-00260,Mock AWS catalog line 260 - compute and storage blend,CSO-SVC-21,Demo description for pricing row 260; safe for POC uploads.,28.19,Each,24.8072,Each,
DEMO-P-202601-00261,Mock AWS catalog line 261 - compute and storage blend,CSO-SVC-22,Demo description for pricing row 261; safe for POC uploads.,28.26,GB-Mo,24.8688,GB-Mo,Standard
DEMO-P-202601-00262,Mock AWS catalog line 262 - compute and storage blend,CSO-SVC-23,Demo description for pricing row 262; safe for POC uploads.,28.33,Each,24.9304,Each,Standard
DEMO-P-202601-00263,Mock AWS catalog line 263 - compute and storage blend,CSO-SVC-24,Demo description for pricing row 263; safe for POC uploads.,28.4,GB-Mo,24.992,GB-Mo,Standard
DEMO-P-202601-00264,Mock AWS catalog line 264 - compute and storage blend,CSO-SVC-25,Demo description for pricing row 264; safe for POC uploads.,28.47,Each,25.0536,Each,Standard
DEMO-P-202601-00265,Mock AWS catalog line 265 - compute and storage blend,CSO-SVC-26,Demo description for pricing row 265; safe for POC uploads.,28.54,GB-Mo,25.1152,GB-Mo,
DEMO-P-202601-00266,Mock AWS catalog line 266 - compute and storage blend,CSO-SVC-27,Demo description for pricing row 266; safe for POC uploads.,28.61,Each,25.1768,Each,Standard
DEMO-P-202601-00267,Mock AWS catalog line 267 - compute and storage blend,CSO-SVC-28,Demo description for pricing row 267; safe for POC uploads.,28.68,GB-Mo,25.2384,GB-Mo,Standard
DEMO-P-202601-00268,Mock AWS catalog line 268 - compute and storage blend,CSO-SVC-29,Demo description for pricing row 268; safe for POC uploads.,28.75,Each,25.3,Each,Standard
DEMO-P-202601-00269,Mock AWS catalog line 269 - compute and storage blend,CSO-SVC-30,Demo description for pricing row 269; safe for POC uploads.,28.82,GB-Mo,25.3616,GB-Mo,Standard
DEMO-P-202601-00270,Mock AWS catalog line 270 - compute and storage blend,CSO-SVC-31,Demo description for pricing row 270; safe for POC uploads.,28.89,Each,25.4232,Each,
DEMO-P-202601-00271,Mock AWS catalog line 271 - compute and storage blend,CSO-SVC-32,Demo description for pricing row 271; safe for POC uploads.,28.96,GB-Mo,25.4848,GB-Mo,Standard
DEMO-P-202601-00272,Mock AWS catalog line 272 - compute and storage blend,CSO-SVC-33,Demo description for pricing row 272; safe for POC uploads.,29.03,Each,25.5464,Each,Standard
DEMO-P-202601-00273,Mock AWS catalog line 273 - compute and storage blend,CSO-SVC-34,Demo description for pricing row 273; safe for POC uploads.,29.1,GB-Mo,25.608,GB-Mo,Standard
DEMO-P-202601-00274,Mock AWS catalog line 274 - compute and storage blend,CSO-SVC-35,Demo description for pricing row 274; safe for POC uploads.,29.17,Each,25.6696,Each,Standard
DEMO-P-202601-00275,Mock AWS catalog line 275 - compute and storage blend,CSO-SVC-36,Demo description for pricing row 275; safe for POC uploads.,29.24,GB-Mo,25.7312,GB-Mo,
DEMO-P-202601-00276,Mock AWS catalog line 276 - compute and storage blend,CSO-SVC-37,Demo description for pricing row 276; safe for POC uploads.,29.31,Each,25.7928,Each,Standard
DEMO-P-202601-00277,Mock AWS catalog line 277 - compute and storage blend,CSO-SVC-38,Demo description for pricing row 277; safe for POC uploads.,29.38,GB-Mo,25.8544,GB-Mo,Standard
DEMO-P-202601-00278,Mock AWS catalog line 278 - compute and storage blend,CSO-SVC-39,Demo description for pricing row 278; safe for POC uploads.,29.45,Each,25.916,Each,Standard
DEMO-P-202601-00279,Mock AWS catalog line 279 - compute and storage blend,CSO-SVC-40,Demo description for pricing row 279; safe for POC uploads.,29.52,GB-Mo,25.9776,GB-Mo,Standard
DEMO-P-202601-00280,Mock AWS catalog line 280 - compute and storage blend,CSO-SVC-01,Demo description for pricing row 280; safe for POC uploads.,29.59,Each,26.0392,Each,
DEMO-P-202601-00281,Mock AWS catalog line 281 - compute and storage blend,CSO-SVC-02,Demo description for pricing row 281; safe for POC uploads.,29.66,GB-Mo,26.1008,GB-Mo,Standard
DEMO-P-202601-00282,Mock AWS catalog line 282 - compute and storage blend,CSO-SVC-03,Demo description for pricing row 282; safe for POC uploads.,29.73,Each,26.1624,Each,Standard
DEMO-P-202601-00283,Mock AWS catalog line 283 - compute and storage blend,CSO-SVC-04,Demo description for pricing row 283; safe for POC uploads.,29.8,GB-Mo,26.224,GB-Mo,Standard
DEMO-P-202601-00284,Mock AWS catalog line 284 - compute and storage blend,CSO-SVC-05,Demo description for pricing row 284; safe for POC uploads.,29.87,Each,26.2856,Each,Standard
DEMO-P-202601-00285,Mock AWS catalog line 285 - compute and storage blend,CSO-SVC-06,Demo description for pricing row 285; safe for POC uploads.,29.94,GB-Mo,26.3472,GB-Mo,
DEMO-P-202601-00286,Mock AWS catalog line 286 - compute and storage blend,CSO-SVC-07,Demo description for pricing row 286; safe for POC uploads.,30.01,Each,26.4088,Each,Standard
DEMO-P-202601-00287,Mock AWS catalog line 287 - compute and storage blend,CSO-SVC-08,Demo description for pricing row 287; safe for POC uploads.,30.08,GB-Mo,26.4704,GB-Mo,Standard
DEMO-P-202601-00288,Mock AWS catalog line 288 - compute and storage blend,CSO-SVC-09,Demo description for pricing row 288; safe for POC uploads.,30.15,Each,26.532,Each,Standard
DEMO-P-202601-00289,Mock AWS catalog line 289 - compute and storage blend,CSO-SVC-10,Demo description for pricing row 289; safe for POC uploads.,30.22,GB-Mo,26.5936,GB-Mo,Standard
DEMO-P-202601-00290,Mock AWS catalog line 290 - compute and storage blend,CSO-SVC-11,Demo description for pricing row 290; safe for POC uploads.,30.29,Each,26.6552,Each,
DEMO-P-202601-00291,Mock AWS catalog line 291 - compute and storage blend,CSO-SVC-12,Demo description for pricing row 291; safe for POC uploads.,30.36,GB-Mo,26.7168,GB-Mo,Standard
DEMO-P-202601-00292,Mock AWS catalog line 292 - compute and storage blend,CSO-SVC-13,Demo description for pricing row 292; safe for POC uploads.,30.43,Each,26.7784,Each,Standard
DEMO-P-202601-00293,Mock AWS catalog line 293 - compute and storage blend,CSO-SVC-14,Demo description for pricing row 293; safe for POC uploads.,30.5,GB-Mo,26.84,GB-Mo,Standard
DEMO-P-202601-00294,Mock AWS catalog line 294 - compute and storage blend,CSO-SVC-15,Demo description for pricing row 294; safe for POC uploads.,30.57,Each,26.9016,Each,Standard
DEMO-P-202601-00295,Mock AWS catalog line 295 - compute and storage blend,CSO-SVC-16,Demo description for pricing row 295; safe for POC uploads.,30.64,GB-Mo,26.9632,GB-Mo,
DEMO-P-202601-00296,Mock AWS catalog line 296 - compute and storage blend,CSO-SVC-17,Demo description for pricing row 296; safe for POC uploads.,30.71,Each,27.0248,Each,Standard
DEMO-P-202601-00297,Mock AWS catalog line 297 - compute and storage blend,CSO-SVC-18,Demo description for pricing row 297; safe for POC uploads.,30.78,GB-Mo,27.0864,GB-Mo,Standard
DEMO-P-202601-00298,Mock AWS catalog line 298 - compute and storage blend,CSO-SVC-19,Demo description for pricing row 298; safe for POC uploads.,30.85,Each,27.148,Each,Standard
DEMO-P-202601-00299,Mock AWS catalog line 299 - compute and storage blend,CSO-SVC-20,Demo description for pricing row 299; safe for POC uploads.,30.92,GB-Mo,27.2096,GB-Mo,Standard
DEMO-P-202601-00300,Mock AWS catalog line 300 - compute and storage blend,CSO-SVC-21,Demo description for pricing row 300; safe for POC uploads.,30.99,Each,27.2712,Each,
DEMO-P-202601-00301,Mock AWS catalog line 301 - compute and storage blend,CSO-SVC-22,Demo description for pricing row 301; safe for POC uploads.,31.06,GB-Mo,27.3328,GB-Mo,Standard
DEMO-P-202601-00302,Mock AWS catalog line 302 - compute and storage blend,CSO-SVC-23,Demo description for pricing row 302; safe for POC uploads.,31.13,Each,27.3944,Each,Standard
DEMO-P-202601-00303,Mock AWS catalog line 303 - compute and storage blend,CSO-SVC-24,Demo description for pricing row 303; safe for POC uploads.,31.2,GB-Mo,27.456,GB-Mo,Standard
DEMO-P-202601-00304,Mock AWS catalog line 304 - compute and storage blend,CSO-SVC-25,Demo description for pricing row 304; safe for POC uploads.,31.27,Each,27.5176,Each,Standard
DEMO-P-202601-00305,Mock AWS catalog line 305 - compute and storage blend,CSO-SVC-26,Demo description for pricing row 305; safe for POC uploads.,31.34,GB-Mo,27.5792,GB-Mo,
DEMO-P-202601-00306,Mock AWS catalog line 306 - compute and storage blend,CSO-SVC-27,Demo description for pricing row 306; safe for POC uploads.,31.41,Each,27.6408,Each,Standard
DEMO-P-202601-00307,Mock AWS catalog line 307 - compute and storage blend,CSO-SVC-28,Demo description for pricing row 307; safe for POC uploads.,31.48,GB-Mo,27.7024,GB-Mo,Standard
DEMO-P-202601-00308,Mock AWS catalog line 308 - compute and storage blend,CSO-SVC-29,Demo description for pricing row 308; safe for POC uploads.,31.55,Each,27.764,Each,Standard
DEMO-P-202601-00309,Mock AWS catalog line 309 - compute and storage blend,CSO-SVC-30,Demo description for pricing row 309; safe for POC uploads.,31.62,GB-Mo,27.8256,GB-Mo,Standard
